2026-09-17T09:40:41.145Z event=Stop session=local-test-1234 reason=
2026-09-17T09:41:02.564Z event=SessionEnd session=9ec9b1a8-fafa-50cd-b15b-3d95297e270a reason=other
2026-09-17T09:46:32.298Z event=SessionEnd session=9ec9b1a8-fafa-50cd-b15b-3d95297e270a reason=other
2026-09-17T10:04:02.367Z event=SessionEnd session=9ec9b1a8-fafa-50cd-b15b-3d95297e270a reason=other
2026-09-17T10:18:02.434Z event=SessionEnd session=9ec9b1a8-fafa-50cd-b15b-3d95297e270a reason=other
2026-09-17T10:34:02.510Z event=SessionEnd session=9ec9b1a8-fafa-50cd-b15b-3d95297e270a reason=other
2026-09-17T11:02:02.656Z event=SessionEnd session=9ec9b1a8-fafa-50cd-b15b-3d95297e270a reason=other
2026-09-17T11:08:32.686Z event=SessionEnd session=9ec9b1a8-fafa-50cd-b15b-3d95297e270a reason=other
2026-09-17T13:16:48.993Z event=manual-end session=session_0168CyHk2sXtotxpRUJANhhn reason=going-silent-for-external-poll-test
2026-09-17T13:21:07.681Z event=SessionEnd session=9ec9b1a8-fafa-50cd-b15b-3d95297e270a reason=other
2026-09-17T13:22:52.414Z event=SessionEnd session=20ca14c3-af7c-5433-9cbb-eab4ec2e6168 reason=other
2026-09-17T13:59:37.880Z event=SessionEnd session=9ec9b1a8-fafa-50cd-b15b-3d95297e270a reason=other
2026-09-17T14:01:52.497Z event=SessionEnd session=20ca14c3-af7c-5433-9cbb-eab4ec2e6168 reason=other
2026-09-17T14:45:38.055Z event=SessionEnd session=9ec9b1a8-fafa-50cd-b15b-3d95297e270a reason=other
2026-09-17T14:52:50.591Z event=manual-end session=session_0168CyHk2sXtotxpRUJANhhn reason=going-silent-attempt-2
2026-09-17T14:57:38.123Z event=SessionEnd session=9ec9b1a8-fafa-50cd-b15b-3d95297e270a reason=other
2026-09-17T16:55:48.081Z event=SessionEnd session=9ec9b1a8-fafa-50cd-b15b-3d95297e270a reason=other
2026-09-17T17:12:54.625Z event=manual-end session=session_0168CyHk2sXtotxpRUJANhhn reason=going-silent-attempt-3-20min-confirm
